bigg_rxn_id,biocyc_rxn_id,parent_node,parent_node_type,parent_node_subtype,parent_node_biocyc_id,child_node,child_node_type,child_node_subtype,child_node_biocyc_id,edge_weight,edge_source,edge_type,edge_subtype,putative,edge_notes,edge_ref,putative_removal,putative_removal_notes
GLCptspp,TRANS-RXN-158,bigg:GLCptspp,reaction,reaction,TRANS-RXN-158,PTSH-MONOMER,protein,polypeptide,PTSH-MONOMER,,iml1515,non_catalytic_requirement,NA,FALSE,"PTS Enzyme I, together with phosphocarrying protein Hpr, are involved in the suger-unspecific part of the PTS transport system, collectively transfering a phosphoryl group from PEP to the sugar-specxific PTS enzymes                                                                                                                                                                                                                                                                                             ",ecocyc page for the gene,,
GLCptspp,TRANS-RXN-159,bigg:GLCptspp,reaction,reaction,TRANS-RXN-159,CPLX-165,protein,multimeric_protein,CPLX-165,,biocyc,catalysis,secondary,FALSE,"The the mannose PTS permease can transport sugar. However, while a ptsG mutant shows significant fitness decrease growing on glucose, a manXYZ mutant shows minor effects, suggesting the role of this enzyme as secondary with respect to the Glucose PTS-mediated transport.",PMID:22923596,,
FRUpts2pp,TRANS-RXN-158A,bigg:FRUpts2pp,reaction,reaction,TRANS-RXN-158A,CPLX0-7938,protein,multimeric_protein,CPLX0-7938,,iml1515,non_catalytic_requirement,NA,FALSE,"PTS Enzyme I, together with phosphocarrying protein Hpr, are involved in the suger-unspecific part of the PTS transport system, collectively transfering a phosphoryl group from PEP to the sugar-specxific PTS enzymes                                                                                                                                                                                                                                                                                             ",ecocyc page for the gene,,
FRUpts2pp,TRANS-RXN-158A,bigg:FRUpts2pp,reaction,reaction,TRANS-RXN-158A,PTSH-MONOMER,protein,polypeptide,PTSH-MONOMER,,iml1515,non_catalytic_requirement,NA,FALSE,"PTS Enzyme I, together with phosphocarrying protein Hpr, are involved in the suger-unspecific part of the PTS transport system, collectively transfering a phosphoryl group from PEP to the sugar-specxific PTS enzymes                                                                                                                                                                                                                                                                                             ",ecocyc page for the gene,,
G3PT,GLYCEROL-1-PHOSPHATASE-RXN,bigg:G3PT,reaction,reaction,GLYCEROL-1-PHOSPHATASE-RXN,G6425-MONOMER,protein,polypeptide,G6425-MONOMER,,iml1516,catalysis,secondary,FALSE,"ybiV is a type II Holoacid dehalogenase (HAD) with some reported activity on glycerol-3-phosphate, though this activity was low when compared to other substrates.                                                                                                                                                                                                                                                                                                                                                  ",PMID:16990279,,
G3PT,,bigg:G3PT,reaction,reaction,,G7187-MONOMER,protein,polypeptide,G7187-MONOMER,,biocyc,catalysis,primary,FALSE,hexpA shows glycerol-3-phosphe phosphatase activity in crude E.coli extract,PMID:22353596,,
ACCOAC,,bigg:ACCOAC,reaction,reaction,,ACETYL-COA-CARBOXYLMULTI-CPLX,protein,multimeric_protein,ACETYL-COA-CARBOXYLMULTI-CPLX,,manual_curation,catalysis,primary,FALSE,manual curation because the carboxylase reaction does not have a specific reaction ID in Ecocyc,,,
3OAS181,,bigg:3OAS181,reaction,reaction,,FABB-CPLX,protein,multimeric_protein,FABB-CPLX,,manual_curation,catalysis,secondary,FALSE,"fatty acid elongation in ecoli is catalysed by both fabB and fabF. However, fabF was reported to have remarkably higher activity in the elongation of pamitoleoyl-ACP, (C16:1) compared to fabB",PMID:7002930;PMID:7002930;PMID:19362649,,
FUM,FUMHYDR-RXN,bigg:FUM,reaction,reaction,FUMHYDR-RXN,FUMARASE-C,protein,multimeric_protein,FUMARASE-C,,biocyc,catalysis,secondary,FALSE,"fumC is one the three well-characterised e.coli fumarases, but is mainly active under oxydative stress conditions. In addition, fumarase activity in a delta_fumC mutant was reported to be 90% of that of the wild-type",https://doi.org/10.1101/2020.08.04.232652,,
FUM,FUMHYDR-RXN,bigg:FUM,reaction,reaction,FUMHYDR-RXN,EG11162-MONOMER,protein,polypeptide,EG-11162-MONOMER,,biocyc,catalysis,secondary,FALSE,"fumD and fumE are enzymes with fumarase activity identified in a  large-scale metabolomics screen for enzymatic activities of uncharacterized proteins in E. coli. While their activity was confirmed in vitro, a triple fumABC mutant was reported not to growth on acetate",PMID:27941785;doi.org/10.1101/2020.08.04.232652,,
FUM,FUMHYDR-RXN,bigg:FUM,reaction,reaction,FUMHYDR-RXN,G6903-MONOMER,protein,polypeptide,G6903-MONOMER,,biocyc,catalysis,secondary,FALSE,"fumD and fumE are enzymes with fumarase activity identified in a  large-scale metabolomics screen for enzymatic activities of uncharacterized proteins in E. coli. While their activity was confirmed in vitro, a triple fumABC mutant was reported not to growth on acetate",PMID:27941785;doi.org/10.1101/2020.08.04.232653,,
FUM,FUMHYDR-RXN,bigg:FUM,reaction,reaction,FUMHYDR-RXN,FUMARASE-B,protein,multimeric_protein,FUMARASE-B,,biocyc,catalysis,secondary,FALSE,fumarase B is mainly known to be active under anaerobic coditions,ecocyc page for the gene,,
ACHBS,ACETOOHBUTSYN-RXN,bigg:ACHBS,reaction,reaction,ACETOOHBUTSYN-RXN,ACETOLACTSYNII-CPLX,protein,multimeric_protein,ACETOLACTSYNII-CPLX,,biocyc,catalysis,inactive,FALSE,this 2-aceto-2-hydroxybutanoate synthase isozyme is known to be inactive in canonical K12 strains due to a frameshift mutation. (see Ecocyc page for ilvG and references thereof),ecocyc page for the gene,,
ACLS,ACETOLACTSYN-RXN,bigg:ACLS,reaction,reaction,ACETOLACTSYN-RXN,ACETOLACTSYNII-CPLX,protein,multimeric_protein,ACETOLACTSYNII-CPLX,,biocyc,catalysis,inactive,FALSE,this 2-aceto-2-hydroxybutanoate synthase isozyme is known to be inactive in canonical K12 strains due to a frameshift mutation. (see Ecocyc page for ilvG and references thereof),ecocyc page for the gene,,
GLUDy,GLUTAMATESYN-CPLX,bigg:GLUDy,reaction,reaction,GLUTAMATESYN-CPLX,GLUTAMATESYN-CPLX,protein,multimeric_protein,GLUTAMATESYN-CPLX,,biocyc,catalysis,secondary,FALSE,"while the small subunit of the glutamate synthase can use ammonia as a nitrogen sorurce for the for the generation of L-glutamate from alpha-ketoglutarate, NH4 dependent activity has been reported to be significantly lower than the glutamine-dependent activity (GLUSy) suggesting promiscous, but not primary catalysis of the GLUDy reaction",PMID:770440,,
THRD_L,THREDEHYD-RXN,bigg:THRD_L,reaction,reaction,THREDEHYD-RXN,THREDEHYDCAT-CPLX,protein,multimeric_protein,THREDEHYDCAT-CPLX,,biocyc,catalysis,secondary,FALSE,"Catabolic threonine dehydratase (TdcB) carries out the first step in threonine degradation,  but its role in isoleucine biosynthesis is thought to be minor due to his limited expression profile (ecocyc). An ilvA deletion strain was reported to be auxotroph for isoleucine in PMID:37312226",PMID:37312226,,
THRD_L,THREDEHYD-RXN,bigg:THRD_L,reaction,reaction,THREDEHYD-RXN,LSERINEDEAM1-MONOMER,protein,polypeptide,L-SERINEDEAM1-MONOMER,,manual_curation,catalysis,secondary,FALSE,"serine deaminase sdaA was reported to have promiscous, albeit low, activity as a threonine deaminase",PMID:15155761,,
NTP5,RXN-12195,bigg:NTP5,reaction,reaction,RXN-12195,G7841-MONOMER,protein,polypeptide,G7841-MONOMER,,iml1515,catalysis,primary,FALSE,"rsgA is a member of the  a member of the HAS-GTPase (Hydrophobic Amino acid Substituted for catalytic glutamine GTPases) and possess GTPase activity, as well as some hydrolytic activity with other NTPs",PMID:12220175,,
DUTPDP,DUTP-PYROP-RXN,bigg:DUTPDP,reaction,reaction,RXN-12196,G7164-MONOMER,protein,polypeptide,G7164-MONOMER,,biocyc,catalysis,secondary,FALSE,"nudL is a member of the Nudix hydrolase superfamily of nucleoside diphosphatases (Ecocyc). Activity as a dUTPdiphosphatase has been reported (PMID: 16766526). However, in vitro efficiency is significantly less than reported for the canonical DUTPase dut (cf. PMID: 16766526 and PMID: 8798636). Further, null mutations in nut were found to be lethal (PMID: 2830228), while little fitness changes were found in nudL mutatent (PMID: 29769716)",PMID:16766526;PMID:8798636;PMID:2830228;PMID:29769716,,
RPI,RIB5PISOM-RXN,bigg:RPI,reaction,reaction,RIB5PISOM-RXN,RIB5PISOMB-CPLX,protein,multimeric_protein,RIB5PISOMB-CPLX,,biocyc,catalysis,secondary,FALSE,"There are two physically and genetically distinct ribose-5-phosphate isomerases present in E. coli. RpiA is constitutively expressed and rpiA mutants are robose auxotrophs. RpiB can also catalyse the reaction with similar efficiency, but its expression is only induced by growth on ribose (PMID:8576032)",PMID:8576032,,
PGI,PGLUCISOM-RXN,bigg:PGI,reaction,reaction,PGLUCISOM-RXN,CPLX-8401,protein,multimeric_protein,CPLX-8401,,biocyc,catalysis,secondary,FALSE,"kduI has been shown to have PGI activity (PMID: 32179131) and potentially support pgi in vivo. However, pgi mutants are unable to grow on glucose as a sole carbon source (PMID: 16046082)",PMID:32179131;PMID:16046082,,
HSDy,HOMOSERDEHYDROG-RXN,bigg:HSDy,reaction,reaction,HOMOSERDEHYDROG-RXN,ASPKINIIHOMOSERDEHYDROGII-CPLX,protein,multimeric_protein,ASPKINIIHOMOSERDEHYDROGII-CPLX,,biocyc,catalysis,secondary,FALSE,"E. coli K-12 encodes two proteins capable of HSDy activity, class I HSD (thrA) and class II HSD (metL). In PMID:4860558, the activity of the two enzymes have been investegated extensively. Particularly , class II enzymes were reported to be repressed by methionine and considerably less abundant. A strain lacking activity of the class I enzymes was reported to have strong fitness losses (it required threonine or homoserine for normal growth, though it eventually grew in glucose minimal medium after 48h). Additionally, isolated mutant that was found to constitutively express class II enzymes (but lacked class I enzyme activity) was shown to grow normally even in the absence of threonine. Combined together, this evidence suggest a seconary role for metL in the context of this reaction under normal physiological conditions, potentially due to regulated expression levels in the wild-type strain not allowing for sufficient enzyme production to support the level of homoserine dehydrogenase activity required for threonine and methionine biosynthesis.",PMID:4860558,,
TKT1,1TRANSKETO-RXN,bigg:TKT1,reaction,reaction,1TRANSKETO-RXN,CPLX0-1261,protein,multimeric_protein,CPLX0-1261,,biocyc,catalysis,secondary,FALSE,"Transketolase activity in E. coli is known to be carried by two isozymes, tktA and tktB. Experimental evidence suggests tktB to be responsible for only minor transketolase activity (PMID: 8396116), This is further supported by large scale fitness screenings (PMID: 29769716), where tktA mutants show more significant fitness defects than tktB ones",PMID:8396116;PMID:29769716,,
TKT2,2TRANSKETO-RXN,bigg:TKT2,reaction,reaction,2TRANSKETO-RXN,CPLX0-1261,protein,multimeric_protein,CPLX0-1261,,biocyc,catalysis,secondary,FALSE,"Transketolase activity in E. coli is known to be carried by two isozymes, tktA and tktB. Experimental evidence suggests tktB to be responsible for only minor transketolase activity (PMID: 8396116), This is further supported by large scale fitness screenings (PMID: 29769716), where tktA mutants show more significant fitness defects than tktB ones",PMID:8396116;PMID:29769717,,
PFK,6PFRUCTPHOS-RXN,bigg:PFK,reaction,reaction,6PFRUCTPHOS-RXN,6PFK-2-CPX,protein,multimeric_protein,6PFK-2-CPX,,biocyc,catalysis,secondary,FALSE,6-phosphofructokinase 2 (pfkB) encodes a phosphofructokinase with only relatively low PFK activity compared to the main isoform pfkA (PMID:149128 and other references on Ecocyc pages). In add,,,
IPMD,RXN-13158,bigg:IPMD,reaction,reaction,RXN-13158,G6986-MONOMER,protein,polypeptide,G6986-MONOMER,,biocyc,catalysis,secondary,FALSE,"DmlA is a D-malate dehydrogenase that is essential for aerobic growth on D-malate as the sole carbon source and its expression appears induced by malate(EcoCyc). DmlA was shown to catalyse oxidative decarboxylation of 3-isopropylmalate (IPMD), and chromosomal expression was shown to rescue growth in a leucin-auxotroph leuB deletion strain (PMID: 25160617)",PMID:25160617,,
HISTP,HISTIDPHOS-RXN,bigg:HISTP,reaction,reaction,HISTIDPHOS-RXN,ALKAPHOSPHA-CPLX,protein,multimeric_protein,ALKAPHOSPHA-CPLX,,biocyc,catalysis,secondary,FALSE,"phoA is a periplasmic alkaline phosphatase with broad specificity, including histidinol-phosphate (see Ecocyc page for the gene). The other isoenzyme, hisB, is thought to have high substrate specificity for histididol-phosphate based on a large screen on phosphorilated substrates (PMID: 16990279), this edge is marked as secondary catalysis for HISTP.",PMID:13906598;PMID:16990279,,
PSP_L,RXN0-5114,bigg:PSP_L,reaction,reaction,RXN0-5114,ALKAPHOSPHA-CPLX,protein,multimeric_protein,ALKAPHOSPHA-CPLX,,biocyc,catalysis,secondary,FALSE,"phoA is a periplasmic alkaline phosphatase with broad specificity (Ecocyc). Since this is a periplasmic protein and  a serB deletion strain is known to be a serine auxotroph (e.g. PMID:17884825,PMID:36920032, and results from the large fitness screen in PMID: 29769716), this edge is assigned secondary catalysis role.", PMID:17884825;PMID:36920032;PMID:29769716,,
PSP_L,RXN0-5115,bigg:PSP_L,reaction,reaction,RXN0-5115,APHA-CPLX,protein,multimeric_protein,APHA-CPLX,,biocyc,catalysis,secondary,FALSE,"aphA encodes a periplasmic phosphatase/phosphotransferase which was shown to have activity with various substrates, including activity for phosphoserine (PMID: 9011040). Since this is a periplasmic protein and  a serB deletion strain is known to be a serine auxotroph (e.g. PMID:17884825,PMID:36920032, and results from the large fitness screen in PMID: 29769716), this edge is assigned secondary catalysis role.",PMID:9011040; PMID:17884825;PMID:36920032;PMID:29769716,,
PSP_L,RXN0-5116,bigg:PSP_L,reaction,reaction,RXN0-5116,GPH-MONOMER,protein,polypeptide,GPH-MONOMER,,biocyc,catalysis,secondary,FALSE,"overexpression of gph, hisB, and YtjC were shown to rescue serine auxotrophy in a serB deletion strain (PMID:17884825)",PMID:17884825,,
PSP_L,RXN0-5117,bigg:PSP_L,reaction,reaction,RXN0-5117,PGAM2-MONOMER,protein,polypeptide,PGAM2-MONOMER,,biocyc,catalysis,secondary,FALSE,"overexpression of gph, hisB, and YtjC were shown to rescue serine auxotrophy in a serB deletion strain (PMID:17884825)",PMID:17884825,,
PSP_L,RXN0-5118,bigg:PSP_L,reaction,reaction,RXN0-5118,IMIDHISTID-CPLX,protein,polypeptide,IMIDHISTID-CPLX,,biocyc,catalysis,secondary,FALSE,"overexpression of gph, hisB, and YtjC were shown to rescue serine auxotrophy in a serB deletion strain (PMID:17884825)",PMID:17884825,yes,activity on phosphoserine reported to be very low
CYSTL,CYSTATHIONINE-BETA-LYASE-RXN,bigg:CYSTL,reaction,reaction,CYSTATHIONINE-BETA-LYASE-RXN,CPLX0-8092,protein,multimeric_protein,CPLX0-8092,,biocyc,catalysis,secondary,FALSE,overexpression of malY from a plasmid was able to complement methionine auxotrophy in a metC auxotroph,PMID:7665481,,
DHFR,DIHYDROFOLATEREDUCT-RXN,bigg:DHFR,reaction,reaction,DIHYDROFOLATEREDUCT-RXN,CPLX0-8571,protein,multimeric_protein,CPLX0-8571,,biocyc,catalysis,secondary,FALSE,overexpression of flM from a plasmid was shown to rescue severe growth defects in a folA mutant,PMID:14617668,,
CYTBDpp,RXN0-5266,bigg:CYTBDpp,reaction,reaction,RXN0-5266,APP-UBIOX-CPLX,protein,multimeric_protein,APP-UBIOX-CPLX,,biocyc,catalysis,secondary,FALSE,The relevance of  cytochrome bd-II under aerobic conditions is unclear,,,
CYTBD2pp,RXN0-5267,bigg:CYTBD2pp,reaction,reaction,RXN0-5267,APP-UBIOX-CPLX,protein,multimeric_protein,APP-UBIOX-CPLX,,biocyc,catalysis,secondary,FALSE,The relevance of  cytochrome bd-II under aerobic conditions is unclear,,,
CYSS,ACSERLY-RXN,bigg:CYSS,reaction,reaction,ACSERLY-RXN,ACSERLYB-CPLX,protein,multimeric_protein,ACSERLYB-CPLX,,biocyc,catalysis,secondary,,"Two isozymes, (cysM and cysK) are known to carry Cysteine Synthase activity in E. coli. However, cysK mutant have been reported to be cysteine auxotrophs, suggesting a secondary role for cysM in this reaction",PMID: 16000837,,
ASPCT,ASPCARBTRANS-RXN,ASPCARBTRANS-CPLX,protein,multimeric_protein,ASPCARBTRANS-CPLX,ASPCARBREG-DIMER,protein,multimeric_protein,ASPCARBREG-DIMER,1,biocyc,subunit_composition,accessory,FALSE,"pyrI encodes a regulatory subunit of the ASPCT complex, which contains binding sites for the allosteric effectors CTP and ATP but has no catalytic activity (source: Ecocyc). Since the gene is not essential, but the gene encoding the catalytic subunit is, the regulatory subunit is understood to be accessory",ecocyc page for the gene,,
METS,HOMOCYSMETB12-RXN,bigg:METS,reaction,reaction,HOMOCYSMETB12-RXN,HOMOCYSMET-MONOMER,protein,polypeptide,HOMOCYSMET-MONOMER,,iml1515,catalysis,primary,FALSE,"MetE was shown to utilize only the triglutamate form of folate, which is technically a different reaction on than bigg:METS (see ECOLI:HOMOCYSMET-RXN on Ecocyc). Since this reaction is not present in iML1515, we add a catalytic edge to metE to avoid creating an extra reaction, which would result in iCH360 no longer being a perfect submodel of iML1515.",,,
