,biocyc_id,regulator,regulator_biocyc_id,regulator_bigg_id,regulator_type,enzyme,reaction,mechanism,regulation_mode,ki,ki_unit
ECOLI:REG0-10039,ECOLI:REG0-10039,CPD0-1488,ECOLI:CPD0-1488,NA,compound,PRAI-IGPS,IGPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-10038,ECOLI:REG0-10038,CPD0-1487,ECOLI:CPD0-1487,NA,compound,PRAI-IGPS,IGPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-10037,ECOLI:REG0-10037,CPD0-1486,ECOLI:CPD0-1486,NA,compound,PRAI-IGPS,IGPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8423,ECOLI:REG0-8423,ANTHRANILATE,ECOLI:ANTHRANILATE,anth,compound,PRAI-IGPS,IGPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-10868,ECOLI:REG0-10868,CPD-29,ECOLI:CPD-29,NA,compound,ACETATEKINA-MONOMER,ACETATEKIN-RXN,NA,-,NA,NA
ECOLI:REG0-7814,ECOLI:REG0-7814,TYR,ECOLI:TYR,tyr__L,compound,TYRB-DIMER,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,NA,-,NA,NA
ECOLI:REG0-7813,ECOLI:REG0-7813,LEU,ECOLI:LEU,leu__L,compound,TYRB-DIMER,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,NA,-,NA,NA
ECOLI:REG0-7812,ECOLI:REG0-7812,2-KETO-ISOVALERATE,ECOLI:2-KETO-ISOVALERATE,3mob,compound,TYRB-DIMER,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,NA,-,NA,NA
ECOLI:REG0-8437,ECOLI:REG0-8437,F-,ECOLI:F-,NA,compound,ENOLASE-CPLX,2PGADEHYDRAT-RXN,NA,-,NA,NA
ECOLI:REG0-12641,ECOLI:REG0-12641,BOROHYDRIDE,ECOLI:BOROHYDRIDE,NA,compound,FRUCBISALD-CLASSI,F16ALDOLASE-RXN,IRREVERSIBLE,-,NA,NA
ECOLI:REG0-6860,ECOLI:REG0-6860,CIT,ECOLI:CIT,cit,compound,FRUCBISALD-CLASSI,F16ALDOLASE-RXN,NA,+,NA,NA
ECOLI:REG0-12169,ECOLI:REG0-12169,K+,ECOLI:K+,NA,compound,FRUCBISALD-CLASSII,F16ALDOLASE-RXN,NA,+,NA,NA
ECOLI:REG0-12168,ECOLI:REG0-12168,AMMONIUM,ECOLI:AMMONIUM,NA,compound,FRUCBISALD-CLASSII,F16ALDOLASE-RXN,NA,+,NA,NA
ECOLI:REG0-12167,ECOLI:REG0-12167,NI+2,ECOLI:NI+2,NA,compound,FRUCBISALD-CLASSII,F16ALDOLASE-RXN,NA,-,NA,NA
ECOLI:REG0-8470,ECOLI:REG0-8470,EDTA,ECOLI:EDTA,NA,compound,FRUCBISALD-CLASSII,F16ALDOLASE-RXN,NA,-,NA,NA
ECOLI:REG0-6732,ECOLI:REG0-6732,CPD-69,ECOLI:CPD-69,NA,compound,CARBODEHYDRAT-CPLX,RXN0-5224,NA,-,NA,NA
ECOLI:REG0-6731,ECOLI:REG0-6731,CPD0-1626,ECOLI:CPD0-1626,NA,compound,CARBODEHYDRAT-CPLX,RXN0-5224,NA,-,NA,NA
ECOLI:REG0-15727,ECOLI:REG0-15727,CPD0-1626,ECOLI:CPD0-1626,NA,compound,CPLX0-7521,RXN0-5224,NA,-,NA,NA
ECOLI:REG0-15726,ECOLI:REG0-15726,SEROTONIN,ECOLI:SEROTONIN,NA,compound,CPLX0-7521,RXN0-5224,NA,+,NA,NA
ECOLI:REG0-13481,ECOLI:REG0-13481,4-HYDROXYBENZALDEHYDE,ECOLI:4-HYDROXYBENZALDEHYDE,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,UNCOMPETITIVE,-,320.0,&micro;mole
ECOLI:REG0-13480,ECOLI:REG0-13480,NITRIC-OXIDE,ECOLI:NITRIC-OXIDE,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-12909,ECOLI:REG0-12909,ATP,ECOLI:ATP,atp,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-12887,ECOLI:REG0-12887,XANTHOSINE-5-PHOSPHATE,ECOLI:XANTHOSINE-5-PHOSPHATE,xmp,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,COMPETITIVE,-,130.0,&micro;mole
ECOLI:REG0-12886,ECOLI:REG0-12886,GUANOSINE-5DP-3DP,ECOLI:GUANOSINE-5DP-3DP,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,COMPETITIVE,-,30.0,&micro;mole
ECOLI:REG0-10044,ECOLI:REG0-10044,CPD0-1493,ECOLI:CPD0-1493,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-10043,ECOLI:REG0-10043,CPD0-1492,ECOLI:CPD0-1492,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-7393,ECOLI:REG0-7393,K+,ECOLI:K+,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-7392,ECOLI:REG0-7392,RB+,ECOLI:RB+,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-7391,ECOLI:REG0-7391,AMMONIUM,ECOLI:AMMONIUM,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-7390,ECOLI:REG0-7390,CPD-2,ECOLI:CPD-2,NA,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-7387,ECOLI:REG0-7387,GMP,ECOLI:GMP,gmp,compound,IMP-DEHYDROG-CPLX,IMP-DEHYDROG-RXN,COMPETITIVE,-,56.0,&micro;mole
ECOLI:REG0-10571,ECOLI:REG0-10571,OXALATE,ECOLI:OXALATE,NA,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-10569,ECOLI:REG0-10569,2-KETOGLUTARATE,ECOLI:2-KETOGLUTARATE,akg,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-10568,ECOLI:REG0-10568,ADP,ECOLI:ADP,adp,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-10567,ECOLI:REG0-10567,OXALACETIC_ACID,ECOLI:OXALACETIC_ACID,oaa,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-10562,ECOLI:REG0-10562,F-,ECOLI:F-,NA,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-8399,ECOLI:REG0-8399,PHMB,ECOLI:PHMB,NA,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-8398,ECOLI:REG0-8398,AMP,ECOLI:AMP,NA,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-8397,ECOLI:REG0-8397,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,PEPSYNTH-CPLX,PEPSYNTH-RXN,NA,-,NA,NA
ECOLI:REG0-10745,ECOLI:REG0-10745,CPD-2961,ECOLI:CPD-2961,6pgc,compound,CPLX0-7877,PGLUCISOM-RXN,NA,-,NA,NA
ECOLI:REG0-10744,ECOLI:REG0-10744,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,CPLX0-7877,PGLUCISOM-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11785,ECOLI:REG0-11785,DEHYDROQUINATE,ECOLI:DEHYDROQUINATE,3dhq,compound,AROD-CPLX,3-DEHYDROQUINATE-DEHYDRATASE-RXN,NA,-,NA,NA
ECOLI:REG0-11784,ECOLI:REG0-11784,BH4NA,ECOLI:BH4NA,NA,compound,AROD-CPLX,3-DEHYDROQUINATE-DEHYDRATASE-RXN,NA,-,NA,NA
ECOLI:REG0-11783,ECOLI:REG0-11783,CL-,ECOLI:CL-,NA,compound,AROD-CPLX,3-DEHYDROQUINATE-DEHYDRATASE-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11782,ECOLI:REG0-11782,ACET,ECOLI:ACET,ac,compound,AROD-CPLX,3-DEHYDROQUINATE-DEHYDRATASE-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11781,ECOLI:REG0-11781,SUC,ECOLI:SUC,succ,compound,AROD-CPLX,3-DEHYDROQUINATE-DEHYDRATASE-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11780,ECOLI:REG0-11780,DIETHYLPYROCARBONATE,ECOLI:DIETHYLPYROCARBONATE,NA,compound,AROD-CPLX,3-DEHYDROQUINATE-DEHYDRATASE-RXN,OTHER,-,NA,NA
ECOLI:REG0-8302,ECOLI:REG0-8302,NAIR,ECOLI:NAIR,NA,compound,PURE-CPLX,RXN0-743,NA,-,NA,NA
ECOLI:REG0-7426,ECOLI:REG0-7426,TRIS,ECOLI:TRIS,NA,compound,TRANSALDOLB-CPLX,TRANSALDOL-RXN,NA,-,NA,NA
ECOLI:REG0-7425,ECOLI:REG0-7425,Pi,ECOLI:Pi,NA,compound,TRANSALDOLB-CPLX,TRANSALDOL-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7424,ECOLI:REG0-7424,ARABINOSE-5P,ECOLI:ARABINOSE-5P,NA,compound,TRANSALDOLB-CPLX,TRANSALDOL-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7423,ECOLI:REG0-7423,L-GLYCERALDEHYDE,ECOLI:L-GLYCERALDEHYDE,NA,compound,TRANSALDOLB-CPLX,TRANSALDOL-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11198,ECOLI:REG0-11198,CPD0-2022,ECOLI:CPD0-2022,NA,compound,TRANSKETOI-CPLX,1TRANSKETO-RXN,NA,-,NA,NA
ECOLI:REG0-7712,ECOLI:REG0-7712,ARABINOSE-5P,ECOLI:ARABINOSE-5P,NA,compound,TRANSKETOI-CPLX,1TRANSKETO-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-13473,ECOLI:REG0-13473,ZN+2,ECOLI:ZN+2,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG-15663,ECOLI:REG-15663,AMP,ECOLI:AMP,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG-15662,ECOLI:REG-15662,BENZALDEHYDE,ECOLI:BENZALDEHYDE,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG-15661,ECOLI:REG-15661,ADENOSINE_DIPHOSPHATE_RIBOSE,ECOLI:ADENOSINE_DIPHOSPHATE_RIBOSE,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG-15660,ECOLI:REG-15660,AMP,ECOLI:AMP,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG-15659,ECOLI:REG-15659,NAD,ECOLI:NAD,nad,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG-15658,ECOLI:REG-15658,CPD0-1364,ECOLI:CPD0-1364,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG-15657,ECOLI:REG-15657,Thiols,ECOLI:Thiols,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG-15656,ECOLI:REG-15656,CPD-400,ECOLI:CPD-400,NA,compound,ADHE-CPLX,ALCOHOL-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-7135,ECOLI:REG0-7135,PYRAZOLE,ECOLI:PYRAZOLE,NA,compound,CPLX0-8015,ALCOHOL-DEHYDROG-RXN,NONCOMPETITIVE,-,0.2,&micro;mole
ECOLI:REG0-7134,ECOLI:REG0-7134,CPD0-1652,ECOLI:CPD0-1652,NA,compound,CPLX0-8015,ALCOHOL-DEHYDROG-RXN,NONCOMPETITIVE,-,44.0,&micro;mole
ECOLI:REG0-7908,ECOLI:REG0-7908,2-MERCAPTOETHANOL,ECOLI:2-MERCAPTOETHANOL,NA,compound,THYMIDYLATESYN-CPLX,THYMIDYLATESYN-RXN,NA,+,NA,NA
ECOLI:REG0-7907,ECOLI:REG0-7907,METHYLENE-THF-GLU-N,ECOLI:METHYLENE-THF-GLU-N,NA,compound,THYMIDYLATESYN-CPLX,THYMIDYLATESYN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-9216,ECOLI:REG0-9216,CPD-29,ECOLI:CPD-29,NA,compound,DIHYDROXYACIDDEHYDRAT-CPLX,DIHYDROXYISOVALDEHYDRAT-RXN,NA,-,NA,NA
ECOLI:REG0-9215,ECOLI:REG0-9215,NaF,ECOLI:NaF,NA,compound,DIHYDROXYACIDDEHYDRAT-CPLX,DIHYDROXYISOVALDEHYDRAT-RXN,NA,-,NA,NA
ECOLI:REG0-11461,ECOLI:REG0-11461,CD+2,ECOLI:CD+2,NA,compound,FUMARASE-A,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11460,ECOLI:REG0-11460,ZN+2,ECOLI:ZN+2,NA,compound,FUMARASE-A,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11459,ECOLI:REG0-11459,AG+,ECOLI:AG+,NA,compound,FUMARASE-A,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11458,ECOLI:REG0-11458,HG+2,ECOLI:HG+2,NA,compound,FUMARASE-A,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11400,ECOLI:REG0-11400,CPD0-2489,ECOLI:CPD0-2489,NA,compound,FUMARASE-A,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11398,ECOLI:REG0-11398,SUPER-OXIDE,ECOLI:SUPER-OXIDE,NA,compound,FUMARASE-A,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11401,ECOLI:REG0-11401,SUPER-OXIDE,ECOLI:SUPER-OXIDE,NA,compound,FUMARASE-B,FUMHYDR-RXN,NA,-,NA,NA
ECOLI:REG0-11411,ECOLI:REG0-11411,TUNGSTATE,ECOLI:TUNGSTATE,NA,compound,FUMARASE-C,FUMHYDR-RXN,COMPETITIVE,-,2300.0,&micro;mole
ECOLI:REG0-11410,ECOLI:REG0-11410,CIT,ECOLI:CIT,cit,compound,FUMARASE-C,FUMHYDR-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-12751,ECOLI:REG0-12751,NADP,ECOLI:NADP,nadp,compound,CPLX0-7643,ACETOLACTREDUCTOISOM-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-12750,ECOLI:REG0-12750,DIOH-ISOVALERATE,ECOLI:DIOH-ISOVALERATE,NA,compound,CPLX0-7643,ACETOLACTREDUCTOISOM-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-9611,ECOLI:REG0-9611,CPD0-1220,ECOLI:CPD0-1220,NA,compound,CPLX0-7643,ACETOLACTREDUCTOISOM-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-9610,ECOLI:REG0-9610,CPD0-1218,ECOLI:CPD0-1218,NA,compound,CPLX0-7643,ACETOLACTREDUCTOISOM-RXN,IRREVERSIBLE,-,NA,NA
ECOLI:REG0-9739,ECOLI:REG0-9739,CPD0-1242,ECOLI:CPD0-1242,NA,compound,FABB-CPLX,3-OXOACYL-ACP-SYNTH-BASE-RXN,NA,-,NA,NA
ECOLI:REG0-8062,ECOLI:REG0-8062,IODOACETAMIDE,ECOLI:IODOACETAMIDE,NA,compound,FABB-CPLX,3-OXOACYL-ACP-SYNTH-BASE-RXN,NA,-,NA,NA
ECOLI:REG0-8061,ECOLI:REG0-8061,CPD-6901,ECOLI:CPD-6901,NA,compound,FABB-CPLX,3-OXOACYL-ACP-SYNTH-BASE-RXN,NA,-,NA,NA
ECOLI:REG0-9741,ECOLI:REG0-9741,CPD0-1242,ECOLI:CPD0-1242,NA,compound,3-OXOACYL-ACP-SYNTHII-CPLX,3-OXOACYL-ACP-SYNTH-BASE-RXN,NA,-,NA,NA
ECOLI:REG0-7791,ECOLI:REG0-7791,CPD-6901,ECOLI:CPD-6901,NA,compound,3-OXOACYL-ACP-SYNTHII-CPLX,3-OXOACYL-ACP-SYNTH-BASE-RXN,NA,-,NA,NA
ECOLI:REG0-9844,ECOLI:REG0-9844,Sulfhydryl-Reagents,ECOLI:Sulfhydryl-Reagents,NA,compound,N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-RXN,NA,-,NA,NA
ECOLI:REG0-8388,ECOLI:REG0-8388,FE+2,ECOLI:FE+2,NA,compound,N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-RXN,NA,-,NA,NA
ECOLI:REG0-8387,ECOLI:REG0-8387,MN+2,ECOLI:MN+2,NA,compound,N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-RXN,NA,-,NA,NA
ECOLI:REG0-8386,ECOLI:REG0-8386,NI+2,ECOLI:NI+2,NA,compound,N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-RXN,NA,-,NA,NA
ECOLI:REG0-8385,ECOLI:REG0-8385,CU+2,ECOLI:CU+2,NA,compound,N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-RXN,NA,-,NA,NA
ECOLI:REG0-8384,ECOLI:REG0-8384,ZN+2,ECOLI:ZN+2,NA,compound,N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-RXN,NA,-,NA,NA
ECOLI:REG0-12503,ECOLI:REG0-12503,CPD-9275,ECOLI:CPD-9275,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-12381,ECOLI:REG0-12381,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,UNCOMPETITIVE,-,NA,NA
ECOLI:REG0-12380,ECOLI:REG0-12380,IODOACETATE,ECOLI:IODOACETATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-10242,ECOLI:REG0-10242,HG+2,ECOLI:HG+2,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-10170,ECOLI:REG0-10170,DITHIO-NITROBENZOATE,ECOLI:DITHIO-NITROBENZOATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8297,ECOLI:REG0-8297,CPD-8147,ECOLI:CPD-8147,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8296,ECOLI:REG0-8296,HYDROXYMALONATE,ECOLI:HYDROXYMALONATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8295,ECOLI:REG0-8295,CPD-546,ECOLI:CPD-546,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8294,ECOLI:REG0-8294,2-KETOGLUTARATE,ECOLI:2-KETOGLUTARATE,akg,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8290,ECOLI:REG0-8290,CA+2,ECOLI:CA+2,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8289,ECOLI:REG0-8289,CIS-ACONITATE,ECOLI:CIS-ACONITATE,acon_C,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8288,ECOLI:REG0-8288,CL-,ECOLI:CL-,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8287,ECOLI:REG0-8287,GLYCOLLATE,ECOLI:GLYCOLLATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,NA,-,NA,NA
ECOLI:REG0-8286,ECOLI:REG0-8286,SUC,ECOLI:SUC,succ,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,UNCOMPETITIVE,-,NA,NA
ECOLI:REG0-8285,ECOLI:REG0-8285,ITACONATE,ECOLI:ITACONATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,UNCOMPETITIVE,-,NA,NA
ECOLI:REG0-8283,ECOLI:REG0-8283,G3P,ECOLI:G3P,3pg,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-8282,ECOLI:REG0-8282,MALONATE,ECOLI:MALONATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-8281,ECOLI:REG0-8281,OXALATE,ECOLI:OXALATE,NA,compound,ISOCIT-LYASE,ISOCIT-CLEAV-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-13046,ECOLI:REG0-13046,CO+2,ECOLI:CO+2,NA,compound,XYLISOM-CPLX,XYLISOM-RXN,NA,+,NA,NA
ECOLI:REG0-15750,ECOLI:REG0-15750,DODECANOATE,ECOLI:DODECANOATE,NA,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,NA,+,NA,NA
ECOLI:REG0-15749,ECOLI:REG0-15749,GUANOSINE-5DP-3DP,ECOLI:GUANOSINE-5DP-3DP,NA,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,NA,+,NA,NA
ECOLI:REG0-15748,ECOLI:REG0-15748,CIT,ECOLI:CIT,cit,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,NA,-,NA,NA
ECOLI:REG0-10206,ECOLI:REG0-10206,CPD0-1682,ECOLI:CPD0-1682,NA,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,NA,+,NA,NA
ECOLI:REG0-7278,ECOLI:REG0-7278,CDP,ECOLI:CDP,cdp,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,NA,+,NA,NA
ECOLI:REG0-7275,ECOLI:REG0-7275,GTP,ECOLI:GTP,gtp,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-7274,ECOLI:REG0-7274,FRUCTOSE-16-DIPHOSPHATE,ECOLI:FRUCTOSE-16-DIPHOSPHATE,fdp,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-7273,ECOLI:REG0-7273,ACETYL-COA,ECOLI:ACETYL-COA,accoa,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-7271,ECOLI:REG0-7271,MAL,ECOLI:MAL,mal__L,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-7270,ECOLI:REG0-7270,L-ASPARTATE,ECOLI:L-ASPARTATE,asp__L,compound,PEPCARBOX-CPLX,PEPCARBOX-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-11228,ECOLI:REG0-11228,CL-,ECOLI:CL-,NA,compound,GLYOHMETRANS-CPLX,GLYOHMETRANS-RXN,COMPETITIVE,-,10000.0,&micro;mole
ECOLI:REG0-11227,ECOLI:REG0-11227,D-ALANINE,ECOLI:D-ALANINE,NA,compound,GLYOHMETRANS-CPLX,GLYOHMETRANS-RXN,NA,-,NA,NA
ECOLI:REG0-11226,ECOLI:REG0-11226,DITHIO-NITROBENZOATE,ECOLI:DITHIO-NITROBENZOATE,NA,compound,GLYOHMETRANS-CPLX,GLYOHMETRANS-RXN,NA,-,NA,NA
ECOLI:REG0-11225,ECOLI:REG0-11225,METHYLMETHANETHIOSULFONATE,ECOLI:METHYLMETHANETHIOSULFONATE,NA,compound,GLYOHMETRANS-CPLX,GLYOHMETRANS-RXN,NA,-,NA,NA
ECOLI:REG0-10781,ECOLI:REG0-10781,OROTATE,ECOLI:OROTATE,orot,compound,DIHYDROOROTOX-MONOMER,RXN0-6491,COMPETITIVE,-,NA,NA
ECOLI:REG0-7089,ECOLI:REG0-7089,GTP,ECOLI:GTP,gtp,compound,UMPKI-CPLX,RXN-12002,ALLOSTERIC,+,NA,NA
ECOLI:REG0-7088,ECOLI:REG0-7088,UTP,ECOLI:UTP,utp,compound,UMPKI-CPLX,RXN-12002,COMPETITIVE,-,154.0,&micro;mole
ECOLI:REG0-12931,ECOLI:REG0-12931,NADPH,ECOLI:NADPH,nadph,compound,CTPSYN-CPLX,CTPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-12930,ECOLI:REG0-12930,CPD0-2635,ECOLI:CPD0-2635,NA,compound,CTPSYN-CPLX,CTPSYN-RXN,COMPETITIVE,-,3.0,&micro;mole
ECOLI:REG0-12927,ECOLI:REG0-12927,GTP,ECOLI:GTP,gtp,compound,CTPSYN-CPLX,CTPSYN-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-12926,ECOLI:REG0-12926,NADH,ECOLI:NADH,nadh,compound,CTPSYN-CPLX,CTPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-12921,ECOLI:REG0-12921,L-GLUTAMATE_GAMMA-SEMIALDEHYDE,ECOLI:L-GLUTAMATE_GAMMA-SEMIALDEHYDE,glu5sa,compound,CTPSYN-CPLX,CTPSYN-RXN,MIXED,-,NA,NA
ECOLI:REG0-7073,ECOLI:REG0-7073,GTP,ECOLI:GTP,gtp,compound,CTPSYN-CPLX,CTPSYN-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-7071,ECOLI:REG0-7071,CPD0-1037,ECOLI:CPD0-1037,NA,compound,CTPSYN-CPLX,CTPSYN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7070,ECOLI:REG0-7070,CTP,ECOLI:CTP,ctp,compound,CTPSYN-CPLX,CTPSYN-RXN,COMPETITIVE,-,80.0,&micro;mole
ECOLI:REG0-7069,ECOLI:REG0-7069,CPD0-1038,ECOLI:CPD0-1038,NA,compound,CTPSYN-CPLX,CTPSYN-RXN,IRREVERSIBLE,-,NA,NA
ECOLI:REG0-10635,ECOLI:REG0-10635,CPD-12164,ECOLI:CPD-12164,NA,compound,TRYPSYN-APROTEIN,RXN0-2381,COMPETITIVE,-,NA,NA
ECOLI:REG0-12958,ECOLI:REG0-12958,PTSH-PHOSPHORYLATED,ECOLI:PTSH-PHOSPHORYLATED,NA,protein,ADENYL-KIN-MONOMER,ADENYL-KIN-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-10124,ECOLI:REG0-10124,CPD0-1552,ECOLI:CPD0-1552,NA,compound,ADENYL-KIN-MONOMER,ADENYL-KIN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-10002,ECOLI:REG0-10002,MG+2,ECOLI:MG+2,NA,compound,ADENYL-KIN-MONOMER,ADENYL-KIN-RXN,NA,+,NA,NA
