"reaction_id","direction","value","par_type","unit","condition","notes","saturation","model_type","enzyme","MW","num_pp_subunits","kcat_times_pp_num","EC_kcat_value","ec_cost","enzyme_pool_bound_g_gDw"
"ASPCT","fwd",12.1373668119836,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ASPCARBTRANS-CPLX",309.288,12,145.648401743803,145.648401743803,0.000589868013000621,0.238325537615054
"MCOATA","bwd",2.62202436101299,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MALONYL-COA-ACP-TRANSACYL-MONOMER",32.417,1,2.62202436101299,2.62202436101299,0.00343426337150558,0.238325537615054
"MCOATA","fwd",6.871365759,"kcat","s-1","manual_curation","Heckmann_et_al_2020: kcat_in_vitro_per_s_ensemble_model",1,"glucose_batch","MALONYL-COA-ACP-TRANSACYL-MONOMER",32.417,1,6.871365759,6.871365759,0.00131047051460301,0.238325537615054
"DAPE","fwd",37.4496778199379,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-7997",60.418,2,74.8993556398758,74.8993556398758,0.00022407105687893,0.238325537615054
"DHDPRy","fwd",6.48151836074658,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIHYDROPICRED-CPLX",115.028,4,25.9260734429863,25.9260734429863,0.00123243584465222,0.238325537615054
"HSK","fwd",30.4295410178519,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","HOMOSERKIN-CPLX",67.248,2,60.8590820357038,60.8590820357038,0.000306938576382751,0.238325537615054
"SDPTA","bwd",5.05429333368866,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","G6646-MONOMER",44.729,1,5.05429333368866,5.05429333368866,0.00245825111483084,0.238325537615054
"THRS","fwd",9.36283353989845,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","THRESYN-MONOMER",47.114,1,9.36283353989845,9.36283353989845,0.00139778435304364,0.238325537615054
"HSST","fwd",5.48263769827886,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","HOMSUCTRAN-CPLX",71.454,2,10.9652753965577,10.9652753965577,0.00181010805616102,0.238325537615054
"PPNDH","fwd",16.8022163796283,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CHORISMUTPREPHENDEHYDRAT-CPLX",86.222,2,33.6044327592566,33.6044327592566,0.000712720126155327,0.238325537615054
"DTMPK","fwd",7.94475986159112,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-8260",47.566,2,15.8895197231822,15.8895197231822,0.000831540412042839,0.238325537615054
"DTMPK","bwd",3.42168466058422,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-8260",47.566,2,6.84336932116844,6.84336932116844,0.00193074159199723,0.238325537615054
"NDPK1","fwd",29.6032129075311,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,29.6032129075311,29.6032129075311,0.000221316067520492,0.238325537615054
"NDPK1","bwd",3.29259780853089,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,3.29259780853089,3.29259780853089,0.00198981687034224,0.238325537615054
"TRDR","fwd",7.08749013158889,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","THIOREDOXIN-REDUCT-NADPH-CPLX",69.246,2,14.1749802631778,14.1749802631778,0.00135696837969973,0.238325537615054
"DDPA","fwd",10.9566616252276,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","AROH-CPLX",77.47,2,21.9133232504552,21.9133232504552,0.000982025601433932,0.238325537615054
"MALS","fwd",32.5593334564113,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MALATE-SYNTHASE",60.274,1,32.5593334564113,32.5593334564113,0.000514223603508104,0.238325537615054
"NADTRHD","fwd",24.5158574723498,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","UDHA-CPLX",412.48,8,196.126859778798,196.126859778798,0.000584202377517308,0.238325537615054
"G3PD2","bwd",42.4695064591191,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GLYC3PDEHYDROGBIOSYN-CPLX",72.724,2,84.9390129182382,84.9390129182382,0.00023783077312844,0.238325537615054
"GMPS2","fwd",2.25158278181793,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GMP-SYN-CPLX",117.358,2,4.50316556363586,4.50316556363586,0.00723922849021869,0.238325537615054
"P5CR","fwd",15.4601105934929,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PYRROLINECARBREDUCT-CPLX",281.45,10,154.601105934929,154.601105934929,0.000505692084689623,0.238325537615054
"AKGDH","fwd",40.8831446060835,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","2OXOGLUTARATEDEH-CPLX",2418.384,38,1553.55949503117,1553.55949503117,0.000432409145244775,0.238325537615054
"ATPPRT","fwd",2.64718342228027,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-7614",66.734,2,5.29436684456054,5.29436684456054,0.00350131049971867,0.238325537615054
"HISTD","fwd",1.98079661605363,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","HISTDEHYD-CPLX",92.22,2,3.96159323210726,3.96159323210726,0.0064662536423611,0.238325537615054
"DHDPS","fwd",5.57546794884684,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIHYDRODIPICSYN-CPLX",125.08,4,22.3018717953874,22.3018717953874,0.00155791606925256,0.238325537615054
"IGPDH","fwd",2.87424763706746,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","IMIDHISTID-CPLX",80.556,2,5.74849527413492,5.74849527413492,0.00389261286642252,0.238325537615054
"PRPPS","fwd",13.6898442404018,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-8299",205.308,6,82.1390654424108,82.1390654424108,0.000694310310116503,0.238325537615054
"PRATPP","fwd",4.68730033091575,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","HISTCYCLOPRATPPHOS",22.756,1,4.68730033091575,4.68730033091575,0.00134856114711049,0.238325537615054
"GLUN","fwd",5.00005103333138,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-7695",67.032,2,10.0001020666628,10.0001020666628,0.00186198099538137,0.238325537615054
"PRMICI","fwd",6.88757434426525,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PRIBFAICARPISOM-MONOMER",26.033,1,6.88757434426525,6.88757434426525,0.00104991808834846,0.238325537615054
"GLUPRT","fwd",13.1782156597385,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PRPPAMIDOTRANS-CPLX",225.952,4,52.712862638954,52.712862638954,0.00119068556140342,0.238325537615054
"SERAT","fwd",21.2156661255808,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-237",175.902,6,127.293996753485,127.293996753485,0.000383848947419659,0.238325537615054
"CYSS","fwd",11.8765275886208,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACSERLYB-CPLX",65.328,2,23.7530551772416,23.7530551772416,0.000763971898825607,0.238325537615054
"BPNT","fwd",42.6282320867975,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","EG10043-MONOMER",27.176,1,42.6282320867975,42.6282320867975,0.00017708660480027,0.238325537615054
"PAPSR","fwd",10.1249025294284,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PAPSSULFOTRANS-CPLX",55.952,2,20.2498050588568,20.2498050588568,0.000767524535522598,0.238325537615054
"ASPK","fwd",13.5749408431289,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ASPKINIII-CPLX",97.064,2,27.1498816862578,27.1498816862578,0.000993088019085897,0.238325537615054
"ASPK","bwd",3.32231556414097,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ASPKINIII-CPLX",97.064,2,6.64463112828194,6.64463112828194,0.00405774552442216,0.238325537615054
"ASAD","bwd",4.4898451188708,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX",80.036,2,8.9796902377416,8.9796902377416,0.00247583398019458,0.238325537615054
"DAPDC","fwd",31.411758389528,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIAMINOPIMDECARB-CPLX",92.354,2,62.823516779056,62.823516779056,0.000408348500755076,0.238325537615054
"OCBT","fwd",11.4368439073993,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ORNCARBAMTRANSFERF-CPLX",110.481,3,34.3105317221979,34.3105317221979,0.00089445325170556,0.238325537615054
"OCBT","bwd",3.8902575242417,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ORNCARBAMTRANSFERF-CPLX",110.481,3,11.6707725727251,11.6707725727251,0.00262957456118955,0.238325537615054
"GARFT","fwd",46.2875906366408,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GART-MONOMER",23.238,1,46.2875906366408,46.2875906366408,0.000139454223285718,0.238325537615054
"PHETA1","fwd",4.26968832562401,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TYRB-DIMER",87.076,2,8.53937665124802,8.53937665124802,0.00283249922864601,0.238325537615054
"PHETA1","bwd",11.5965589399559,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TYRB-DIMER",87.076,2,23.1931178799118,23.1931178799118,0.00104288599329405,0.238325537615054
"PPND","fwd",8.61492478443366,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CHORISMUTPREPHENDEHYDROG-CPLX",84.084,2,17.2298495688673,17.2298495688673,0.00135559318572751,0.238325537615054
"PRAMPC","fwd",4.68730033091575,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","HISTCYCLOPRATPPHOS",22.756,1,4.68730033091575,4.68730033091575,0.00134856114711049,0.238325537615054
"GLYCK2","fwd",3.37365485387144,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GLY3KIN-MONOMER",38.734,1,3.37365485387144,3.37365485387144,0.00318925465422091,0.238325537615054
"ACOTA","fwd",13.3069959506178,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G6646-MONOMER",44.729,1,13.3069959506178,13.3069959506178,0.000933698504781268,0.238325537615054
"ACOTA","bwd",6.93605394448492,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G6646-MONOMER",44.729,1,6.93605394448492,6.93605394448492,0.00179132433537394,0.238325537615054
"SULR","fwd",4.39503323136229,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","SULFITE-REDUCT-CPLX",786.152,12,52.7403987763475,52.7403987763475,0.00414057459977892,0.238325537615054
"PRAGSr","fwd",10.5480556362919,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GLYCRIBONUCSYN-MONOMER",45.94,1,10.5480556362919,10.5480556362919,0.00120980695884888,0.238325537615054
"PRFGS","fwd",9.38988131496425,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","FGAMSYN-MONOMER",141.402,1,9.38988131496425,9.38988131496425,0.00418304896684233,0.238325537615054
"PSERT","fwd",37.4134199559911,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PSERTRANSAM-CPLX",79.566,2,74.8268399119822,74.8268399119822,0.000295370841434231,0.238325537615054
"AIRC2","fwd",27.0271489612158,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PURK-CPLX",78.922,2,54.0542979224316,54.0542979224316,0.000405569559135467,0.238325537615054
"GAPD","fwd",29.1660711182752,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GAPDH-A-CPLX",142.128,4,116.664284473101,116.664284473101,0.000338406909863686,0.238325537615054
"GND","fwd",18.7080994070584,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","6PGLUCONDEHYDROG-CPLX",102.962,2,37.4161988141168,37.4161988141168,0.000764389661751659,0.238325537615054
"G6PDH2r","fwd",163.678729835396,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GLU6PDEHYDROG-MONOMER",55.704,1,163.678729835396,163.678729835396,9.45347837736408e-05,0.238325537615054
"G6PDH2r","bwd",7.32202599858373,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GLU6PDEHYDROG-MONOMER",55.704,1,7.32202599858373,7.32202599858373,0.00211325845282798,0.238325537615054
"ME2","fwd",20.8905462009082,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MALIC-NADP-CPLX",659.336,8,167.124369607266,167.124369607266,0.00109588379791218,0.238325537615054
"ARGSL","fwd",4.27366998843049,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ARGSUCCINLYA-MONOMER",50.318,1,4.27366998843049,4.27366998843049,0.00327054317718982,0.238325537615054
"CBPS","fwd",2.65017997433225,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CARBPSYN-CPLX",159.273,2,5.3003599486645,5.3003599486645,0.00834707461917705,0.238325537615054
"GLU5K","fwd",12.1357420958202,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GLUTKIN-CPLX",156.224,4,48.5429683832808,48.5429683832808,0.000893961720942098,0.238325537615054
"IPPS","fwd",8.54240063715311,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","2-ISOPROPYLMALATESYN-MONOMER",57.298,1,8.54240063715311,8.54240063715311,0.00186318949287953,0.238325537615054
"ACOATA","fwd",2.66105992730809,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-252",67.03,2,5.32211985461618,5.32211985461618,0.00349850152816358,0.238325537615054
"ACOATA","bwd",2.66105992730809,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-252",67.03,2,5.32211985461618,5.32211985461618,0.00349850152816358,0.238325537615054
"ACtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"ACtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"ACALDtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"ACALDtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"PSP_L","fwd",2693.14210994718,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PGAM2-MONOMER",24.065,1,2693.14210994718,2693.14210994718,2.48212754816467e-06,0.238325537615054
"ADSK","fwd",39.2948342471692,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ADENYLYLSULFKIN-CPLX",44.642,2,78.5896684943384,78.5896684943384,0.000157788622768512,0.238325537615054
"SUCCt2_2pp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","EG11512-MONOMER",20.071,1,65,65,8.57735042735043e-05,0.238325537615054
"SUCCt2_2pp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","EG11512-MONOMER",20.071,1,65,65,8.57735042735043e-05,0.238325537615054
"HSDy","fwd",3.07355564669199,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ASPKINIIHOMOSERDEHYDROGII-CPLX",177.776,2,6.14711129338398,6.14711129338398,0.0080334029864355,0.238325537615054
"HSDy","bwd",10.5605389805061,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ASPKINIIHOMOSERDEHYDROGII-CPLX",177.776,2,21.1210779610122,21.1210779610122,0.00233805406681315,0.238325537615054
"CYSTL","fwd",6.47745038529771,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-8092",87.284,2,12.9549007705954,12.9549007705954,0.00187153541234274,0.238325537615054
"SHSL1","fwd",7.04616627874576,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","O-SUCCHOMOSERLYASE-CPLX",166.2,4,28.184665114983,28.184665114983,0.00163800657124446,0.238325537615054
"SULabcpp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","ABC-70-CPLX",181.607,5,325,325,0.000155219658119658,0.238325537615054
"SULabcpp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","ABC-70-CPLX",181.607,5,325,325,0.000155219658119658,0.238325537615054
"GLUtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLUtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"AKGt2rpp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","KGTP-MONOMER",47.052,1,65,65,0.000201076923076923,0.238325537615054
"AKGt2rpp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","KGTP-MONOMER",47.052,1,65,65,0.000201076923076923,0.238325537615054
"XYLt2pp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","XYLE-MONOMER",53.608,1,65,65,0.000229094017094017,0.238325537615054
"XYLt2pp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","XYLE-MONOMER",53.608,1,65,65,0.000229094017094017,0.238325537615054
"GLYCtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLYCtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"Htex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"Htex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"PYRt2rpp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","EG10167-MONOMER",75.105,1,65,65,0.000320961538461538,0.238325537615054
"PYRt2rpp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","EG10167-MONOMER",75.105,1,65,65,0.000320961538461538,0.238325537615054
"THD2pp","fwd",3.84083241779726,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PYRNUTRANSHYDROGEN-CPLX",206.692,4,15.363329671189,15.363329671189,0.00373710944653581,0.238325537615054
"TKT2","fwd",32.2780254754625,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-1261",73.043,1,32.2780254754625,32.2780254754625,0.000628592422347715,0.238325537615054
"TKT2","bwd",3.04933639576167,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-1261",73.043,1,3.04933639576167,3.04933639576167,0.00665381564671687,0.238325537615054
"ATPS4rpp","fwd",251.91568917966,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ATPSYN-CPLX",543.641,23,5794.06085113218,5794.06085113218,2.60631347803986e-05,0.238325537615054
"ATPS4rpp","bwd",9.23452646768522,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ATPSYN-CPLX",543.641,23,212.39410875676,212.39410875676,0.000710996127777873,0.238325537615054
"GK1","fwd",37.5362994835745,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GUANYL-KIN-CPLX",47.186,2,75.072598967149,75.072598967149,0.000174593958415611,0.238325537615054
"GK1","bwd",5.6792186294654,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GUANYL-KIN-CPLX",47.186,2,11.3584372589308,11.3584372589308,0.00115396351834548,0.238325537615054
"GLCNtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLCNtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLNtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLNtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"O2tex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"O2tex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"D_LACtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"D_LACtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLCtex_copy1","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"GLCtex_copy1","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"FUMt2_2pp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","DCTA-MONOMER",45.436,1,65,65,0.00019417094017094,0.238325537615054
"FUMt2_2pp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","DCTA-MONOMER",45.436,1,65,65,0.00019417094017094,0.238325537615054
"PItex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"PItex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"CYTBDpp","fwd",2.54015100963198,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","APP-UBIOX-CPLX",103.941,3,7.62045302889594,7.62045302889594,0.00378881673970282,0.238325537615054
"CYTBD2pp","fwd",3.52714995698814,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","APP-UBIOX-CPLX",103.941,3,10.5814498709644,10.5814498709644,0.00272859583063625,0.238325537615054
"ACt2rpp","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","EG11512-MONOMER",20.071,1,65,65,8.57735042735043e-05,0.238325537615054
"ACt2rpp","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","EG11512-MONOMER",20.071,1,65,65,8.57735042735043e-05,0.238325537615054
"METS","fwd",5.10275366474256,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","HOMOCYSMETB12-MONOMER",135.996,1,5.10275366474256,5.10275366474256,0.00740319230530062,0.238325537615054
"FRUtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"FRUtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"FUMtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"FUMtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"PRASCSi","fwd",4.05284273762496,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","SAICARSYN-CPLX",80.985,3,12.1585282128749,12.1585282128749,0.00185021023428741,0.238325537615054
"MTHFC","fwd",35.3763455619602,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","FOLD-CPLX",62.088,2,70.7526911239204,70.7526911239204,0.000243759868249532,0.238325537615054
"MTHFD","fwd",35.3763455619602,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","FOLD-CPLX",62.088,2,70.7526911239204,70.7526911239204,0.000243759868249532,0.238325537615054
"XYLtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"XYLtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"FORtppi","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","FOCB-MONOMER",30.565,1,65,65,0.000130619658119658,0.238325537615054
"FORtppi","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","FOCB-MONOMER",30.565,1,65,65,0.000130619658119658,0.238325537615054
"PYRtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"PYRtex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"SO4tex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"SO4tex","bw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
"SUCCtex","fw",65,"65","s-1","NA","same as Heckman et al. 2018",1,"glucose_batch","G6700-MONOMER",41.22,1,65,65,0.000176153846153846,0.238325537615054
